n_clusters,silhouette_score
2,0.28735668921406704
3,0.28329575683463126
4,0.2975089381471821
5,0.22327899566511256
6,0.23360861220948875
7,0.2505950729697856
8,0.23486929106214116
9,0.21497043991396433
10,0.20768807492194016
